"id","date","text","url","label"
"1740192891467923931","2023-12-28 02:08:11+00:00","Nuevamente un robo a un local comercial en Guayacanes, a plena luz del día. @PoliciaEcuador @ecu911sambo @FiscaliaEcuador https://t.co/D1XSwz7f4b","https://twitter.com/Cdla_Guayacanes/status/1740192891467923931","robo"
"1735644895807688886","2023-12-15 12:56:04+00:00","Angelitos robando en Samanes 1 @PoliciaEcuador  @FiscaliaEcuador  @CJudicaturaEc  @ecuavisa  @teleamazonasec  @tctelevision  @luisantonio_r https://t.co/9K6c1sHdCc","https://twitter.com/mdavidcantos/status/1735644895807688886","robo"
"1741140667835834700","2023-12-30 16:54:18+00:00","Bloque 1b mercado de bastion popular, la gente alarmada porque llegan hasta 6 motos en gajo a robarle a todos en especial a los camiones que entregan mercadería @PoliciaEcuador @DanielNoboaOk @alcaldiagye https://t.co/kEWi72lNWL","https://twitter.com/persevrocio/status/1741140667835834700","robo"
"1740609881009479974","2023-12-29 05:45:09+00:00","@teleamazonasec @ecuavisa @USembassyEC @TiempoRealEC @nayibbukele Mi familia y yo creímos y votamos por usted @DanielNoboaOk; pero lamentablemente su gobierno fracasó desde el primer día. Ayer me robaron delante mis niños @PoliciaEcuador #Ecuador #QueremosPaz https://t.co/DQZ1gKwykP","https://twitter.com/XGNthaly/status/1740609881009479974","robo"
"1738607137188667893","2023-12-23 17:06:57+00:00","Moradores de Samanes 7 no aguantan tanta delincuencia. La @PoliciaEcuador ni se la conoce. Cuando vienen, lo hacen tarde. Está mañana este delincuente estaba robando en una vidrieria de la Fco Orellana, cuando escapaba fue capturado por colegio Ateneo y le dieron la paloterapia https://t.co/sYgSxjgUQK","https://twitter.com/JorgeLo56587146/status/1738607137188667893","robo"
"1739509339390353701","2023-12-26 04:51:59+00:00","Atentos!! Delincuentes de nacionalidad extranjera están robando en moto mientras usted espera el semaforo en rojo! Uno se baja y los demás esperan atentos para la huida, esto ocurrió hoy en la Alborada 10. ETAPA  a la altura del City mall @PoliciaEcuador @FiscaliaEcuador https://t.co/bdISz5vENU","https://twitter.com/longoendiablado/status/1739509339390353701","robo"
"1740566790126596335","2023-12-29 02:53:55+00:00","🔴 #ÚltimaHora | La @PoliciaEcuador rescató a una persona que había sido secuestrada.  La víctima era transportada en una camioneta reportada como robada, los presuntos responsables de este hecho realizaron varias detonaciones con armas de fuego mientras las autoridades les daban persecución en el sector El Pantano, #LosRíos.  #NewsOnDemand","https://twitter.com/OnDemand_News/status/1740566790126596335","secuestro"
"1739859334736019960","2023-12-27 04:02:45+00:00","😱🔴 #Delincuente #abatido por @PoliciaEcuador tras intento de robo a camión en el centro de Guayaquil. El general Víctor Herrera, comandante de la Zona 8 (Guayaquil, Durán y Samborondón), se presentó en el lugar y señaló que el sujeto capturado y las evidencias https://t.co/4nZQaP7boA","https://twitter.com/andreitachere/status/1739859334736019960","robo"
"1740177309980864793","2023-12-28 01:06:16+00:00","#ATENCIÓN | @PoliciaEcuador abate a un delincuente tras persecución por el robo de un camión en vía que conecta a Santo Domingo y Chone. https://t.co/zsjHi4L1NQ  https://t.co/P4OHKuV3vO","https://twitter.com/radiocentroec/status/1740177309980864793","robo"
"1739860489507569948","2023-12-27 04:07:20+00:00","#ATENCIÓN | La @PoliciaEcuador evita el robo de un camión y de una motocicleta, en #Guayaquil. Durante el enfrentamiento con los antisociales, un delincuente fue dado de baja por los agentes del orden.  🎥 Cortesía. https://t.co/PtpCPZgN2S","https://twitter.com/NuevoTiempoCue/status/1739860489507569948","robo"
